source-Field,target-Laureate
Chemistry,Ernst Otto Fischer•Ŕ_
Chemistry,Geoffrey Wilkinson•Ŕ_
Economic Sciences,Wassily Leontief•Ŕ_
Literature,Patrick White•Ŕ_
Physics,Brian David Josephson•Ŕ_
Physics,Ivar Giaever•Ŕ_
Physics,Leo Esaki•Ŕ_
Medicine,Karl von Frisch•Ŕ_
Medicine,Konrad Lorenz•Ŕ_
Medicine,Nikolaas Tinbergen•Ŕ_
The Nobel Peace Prize,Henry A. Kissinger•Ŕ_
The Nobel Peace Prize,Le Duc Tho•Ŕ_
Chemistry,Paul J. Flory•Ŕ_
Economic Sciences,Friedrich August von Hayek•Ŕ_
Economic Sciences,Gunnar Myrdal•Ŕ_
Literature,Eyvind Johnson•Ŕ_
Literature,Harry Martinson•Ŕ_
Physics,Antony Hewish•Ŕ_
Physics,Sir Martin Ryle•Ŕ_
Medicine,Albert Claude•Ŕ_
Medicine,Christian de Duve•Ŕ_
Medicine,George E. Palade•Ŕ_
The Nobel Peace Prize,Eisaku Sato•Ŕ_
The Nobel Peace Prize,Se•Ŕ_n MacBride•Ŕ_
Chemistry,John Warcup Cornforth•Ŕ_
Chemistry,Vladimir Prelog•Ŕ_
Economic Sciences,Leonid Vitaliyevich Kantorovich•Ŕ_
Economic Sciences,Tjalling C. Koopmans•Ŕ_
Literature,Eugenio Montale•Ŕ_
Physics,Aage Niels Bohr•Ŕ_
Physics,Ben Roy Mottelson•Ŕ_
Physics,Leo James Rainwater•Ŕ_
Medicine,David Baltimore•Ŕ_
Medicine,Howard Martin Temin•Ŕ_
Medicine,Renato Dulbecco•Ŕ_
The Nobel Peace Prize,Andrei Dmitrievich Sakharov•Ŕ_
Chemistry,William N. Lipscomb•Ŕ_
Economic Sciences,Milton Friedman•Ŕ_
Literature,Saul Bellow•Ŕ_
Physics,Burton Richter•Ŕ_
Physics,Samuel Chao Chung Ting•Ŕ_
Medicine,Baruch S. Blumberg•Ŕ_
Medicine,D. Carleton Gajdusek•Ŕ_
The Nobel Peace Prize,Betty Williams•Ŕ_
The Nobel Peace Prize,Mairead Corrigan•Ŕ_
Chemistry,Ilya Prigogine•Ŕ_
Economic Sciences,Bertil Ohlin•Ŕ_
Economic Sciences,James E. Meade•Ŕ_
Literature,Vicente Aleixandre•Ŕ_
Physics,John Hasbrouck van Vleck•Ŕ_
Physics,Philip Warren Anderson•Ŕ_
Physics,Sir Nevill Francis Mott•Ŕ_
Medicine,Andrew V. Schally•Ŕ_
Medicine,Roger Guillemin•Ŕ_
Medicine,Rosalyn Yalow•Ŕ_
The Nobel Peace Prize,Amnesty International•Ŕ_
Chemistry,Peter D. Mitchell•Ŕ_
Economic Sciences,Herbert A. Simon•Ŕ_
Literature,Isaac Bashevis Singer•Ŕ_
Physics,Arno Allan Penzias•Ŕ_
Physics,Pyotr Leonidovich Kapitsa•Ŕ_
Physics,Robert Woodrow Wilson•Ŕ_
Medicine,Daniel Nathans•Ŕ_
Medicine,Hamilton O. Smith•Ŕ_
Medicine,Werner Arber•Ŕ_
The Nobel Peace Prize,Menachem Begin•Ŕ_
The Nobel Peace Prize,Mohamed Anwar al-Sadat•Ŕ_
Chemistry,Georg Wittig•Ŕ_
Chemistry,Herbert C. Brown•Ŕ_
Economic Sciences,Sir Arthur Lewis•Ŕ_
Economic Sciences,Theodore W. Schultz•Ŕ_
Literature,Odysseus Elytis•Ŕ_
Physics,Abdus Salam•Ŕ_
Physics,Sheldon Lee Glashow•Ŕ_
Physics,Steven Weinberg•Ŕ_
Medicine,Allan M. Cormack•Ŕ_
Medicine,Godfrey N. Hounsfield•Ŕ_
The Nobel Peace Prize,Mother Teresa•Ŕ_
Chemistry,Frederick Sanger•Ŕ_
Chemistry,Paul Berg•Ŕ_
Chemistry,Walter Gilbert•Ŕ_
Economic Sciences,Lawrence R. Klein•Ŕ_
Literature,Czeslaw Milosz•Ŕ_
Physics,James Watson Cronin•Ŕ_
Physics,Val Logsdon Fitch•Ŕ_
Medicine,Baruj Benacerraf•Ŕ_
Medicine,George D. Snell•Ŕ_
Medicine,Jean Dausset•Ŕ_
The Nobel Peace Prize,Adolfo P•Ŕ_rez Esquivel•Ŕ_
Chemistry,Kenichi Fukui•Ŕ_
Chemistry,Roald Hoffmann•Ŕ_
Economic Sciences,James Tobin•Ŕ_
Literature,Elias Canetti•Ŕ_
Physics,Arthur Leonard Schawlow•Ŕ_
Physics,Kai M. Siegbahn•Ŕ_
Physics,Nicolaas Bloembergen•Ŕ_
Medicine,David H. Hubel•Ŕ_
Medicine,Roger W. Sperry•Ŕ_
Medicine,Torsten N. Wiesel•Ŕ_
The Nobel Peace Prize,Office of the United Nations High Commissioner for Refugees (UNHCR)•Ŕ_
Chemistry,Aaron Klug•Ŕ_
Economic Sciences,George J. Stigler•Ŕ_
Literature,Gabriel Garc•Ŕ_a M•Ŕ_rquez•Ŕ_
Physics,Kenneth G. Wilson•Ŕ_
Medicine,Bengt I. Samuelsson•Ŕ_
Medicine,John R. Vane•Ŕ_
Medicine,Sune K. Bergstr•Ŕ_m•Ŕ_
The Nobel Peace Prize,Alfonso Garc•Ŕ_a Robles•Ŕ_
The Nobel Peace Prize,Alva Myrdal•Ŕ_
Chemistry,Henry Taube•Ŕ_
Economic Sciences,Gerard Debreu•Ŕ_
Literature,William Golding•Ŕ_
Physics,Subramanyan Chandrasekhar•Ŕ_
Physics,William Alfred Fowler•Ŕ_
Medicine,Barbara McClintock•Ŕ_
The Nobel Peace Prize,Lech Walesa•Ŕ_
Chemistry,Robert Bruce Merrifield•Ŕ_
Economic Sciences,Richard Stone•Ŕ_
Literature,Jaroslav Seifert•Ŕ_
Physics,Carlo Rubbia•Ŕ_
Physics,Simon van der Meer•Ŕ_
Medicine,C•Ŕ_sar Milstein•Ŕ_
Medicine,Georges J.F. K•Ŕ_hler•Ŕ_
Medicine,Niels K. Jerne•Ŕ_
The Nobel Peace Prize,Desmond Mpilo Tutu•Ŕ_
Chemistry,Herbert A. Hauptman•Ŕ_
Chemistry,Jerome Karle•Ŕ_
Economic Sciences,Franco Modigliani•Ŕ_
Literature,Claude Simon•Ŕ_
Physics,Klaus von Klitzing•Ŕ_
Medicine,Joseph L. Goldstein•Ŕ_
Medicine,Michael S. Brown•Ŕ_
The Nobel Peace Prize,International Physicians for the Prevention of Nuclear War•Ŕ_
Chemistry,Dudley R. Herschbach•Ŕ_
Chemistry,John C. Polanyi•Ŕ_
Chemistry,Yuan T. Lee•Ŕ_
Economic Sciences,James M. Buchanan Jr.•Ŕ_
Literature,Wole Soyinka•Ŕ_
Physics,Ernst Ruska•Ŕ_
Physics,Gerd Binnig•Ŕ_
Physics,Heinrich Rohrer•Ŕ_
Medicine,Rita Levi-Montalcini•Ŕ_
Medicine,Stanley Cohen•Ŕ_
The Nobel Peace Prize,Elie Wiesel•Ŕ_
Chemistry,Charles J. Pedersen•Ŕ_
Chemistry,Donald J. Cram•Ŕ_
Chemistry,Jean-Marie Lehn•Ŕ_
Economic Sciences,Robert M. Solow•Ŕ_
Literature,Joseph Brodsky•Ŕ_
Physics,J. Georg Bednorz•Ŕ_
Physics,K. Alexander M•Ŕ_ller•Ŕ_
Medicine,Susumu Tonegawa•Ŕ_
The Nobel Peace Prize,Oscar Arias S•Ŕ_nchez•Ŕ_
Chemistry,Hartmut Michel•Ŕ_
Chemistry,Johann Deisenhofer•Ŕ_
Chemistry,Robert Huber•Ŕ_
Economic Sciences,Maurice Allais•Ŕ_
Literature,Naguib Mahfouz•Ŕ_
Physics,Jack Steinberger•Ŕ_
Physics,Leon M. Lederman•Ŕ_
Physics,Melvin Schwartz•Ŕ_
Medicine,George H. Hitchings•Ŕ_
Medicine,Gertrude B. Elion•Ŕ_
Medicine,Sir James W. Black•Ŕ_
The Nobel Peace Prize,United Nations Peacekeeping Forces•Ŕ_
Chemistry,Sidney Altman•Ŕ_
Chemistry,Thomas R. Cech•Ŕ_
Economic Sciences,Trygve Haavelmo•Ŕ_
Literature,Camilo Jos•Ŕ_ Cela•Ŕ_
Physics,Hans G. Dehmelt•Ŕ_
Physics,Norman F. Ramsey•Ŕ_
Physics,Wolfgang Paul•Ŕ_
Medicine,Harold E. Varmus•Ŕ_
Medicine,J. Michael Bishop•Ŕ_
The Nobel Peace Prize,The 14th Dalai Lama (Tenzin Gyatso)•Ŕ_
Chemistry,Elias James Corey•Ŕ_
Economic Sciences,Harry M. Markowitz•Ŕ_
Economic Sciences,Merton H. Miller•Ŕ_
Economic Sciences,William F. Sharpe•Ŕ_
Literature,Octavio Paz•Ŕ_
Physics,Henry W. Kendall•Ŕ_
Physics,Jerome I. Friedman•Ŕ_
Physics,Richard E. Taylor•Ŕ_
Medicine,E. Donnall Thomas•Ŕ_
Medicine,Joseph E. Murray•Ŕ_
The Nobel Peace Prize,Mikhail Sergeyevich Gorbachev•Ŕ_
Chemistry,Richard R. Ernst•Ŕ_
Economic Sciences,Ronald H. Coase•Ŕ_
Literature,Nadine Gordimer•Ŕ_
Physics,Pierre-Gilles de Gennes•Ŕ_
Medicine,Bert Sakmann•Ŕ_
Medicine,Erwin Neher•Ŕ_
The Nobel Peace Prize,Aung San Suu Kyi•Ŕ_
Chemistry,Rudolph A. Marcus•Ŕ_
Economic Sciences,Gary S. Becker•Ŕ_
Literature,Derek Walcott•Ŕ_
Physics,Georges Charpak•Ŕ_
Medicine,Edmond H. Fischer•Ŕ_
Medicine,Edwin G. Krebs•Ŕ_
The Nobel Peace Prize,Rigoberta Mench•Ŕ_ Tum•Ŕ_
Chemistry,Kary B. Mullis•Ŕ_
Chemistry,Michael Smith•Ŕ_
Economic Sciences,Douglass C. North•Ŕ_
Economic Sciences,Robert W. Fogel•Ŕ_
Literature,Toni Morrison•Ŕ_
Physics,Joseph H. Taylor Jr.•Ŕ_
Physics,Russell A. Hulse•Ŕ_
Medicine,Phillip A. Sharp•Ŕ_
Medicine,Richard J. Roberts•Ŕ_
The Nobel Peace Prize,Frederik Willem de Klerk•Ŕ_
The Nobel Peace Prize,Nelson Mandela•Ŕ_
Chemistry,George A. Olah•Ŕ_
Economic Sciences,John C. Harsanyi•Ŕ_
Economic Sciences,John F. Nash Jr.•Ŕ_
Economic Sciences,Reinhard Selten•Ŕ_
Literature,Kenzaburo Oe•Ŕ_
Physics,Bertram N. Brockhouse•Ŕ_
Physics,Clifford G. Shull•Ŕ_
Medicine,Alfred G. Gilman•Ŕ_
Medicine,Martin Rodbell•Ŕ_
The Nobel Peace Prize,Shimon Peres•Ŕ_
The Nobel Peace Prize,Yasser Arafat•Ŕ_
The Nobel Peace Prize,Yitzhak Rabin•Ŕ_
Chemistry,F. Sherwood Rowland•Ŕ_
Chemistry,Mario J. Molina•Ŕ_
Chemistry,Paul J. Crutzen•Ŕ_
Economic Sciences,Robert E. Lucas Jr.•Ŕ_
Literature,Seamus Heaney•Ŕ_
Physics,Frederick Reines•Ŕ_
Physics,Martin L. Perl•Ŕ_
Medicine,Christiane N•Ŕ_sslein-Volhard•Ŕ_
Medicine,Edward B. Lewis•Ŕ_
Medicine,Eric F. Wieschaus•Ŕ_
The Nobel Peace Prize,Joseph Rotblat•Ŕ_
The Nobel Peace Prize,Pugwash Conferences on Science and World Affairs•Ŕ_
Chemistry,Richard E. Smalley•Ŕ_
Chemistry,Robert F. Curl Jr.•Ŕ_
Chemistry,Sir Harold W. Kroto•Ŕ_
Economic Sciences,James A. Mirrlees•Ŕ_
Economic Sciences,William Vickrey•Ŕ_
Literature,Wislawa Szymborska•Ŕ_
Physics,David M. Lee•Ŕ_
Physics,Douglas D. Osheroff•Ŕ_
Physics,Robert C. Richardson•Ŕ_
Medicine,Peter C. Doherty•Ŕ_
Medicine,Rolf M. Zinkernagel•Ŕ_
The Nobel Peace Prize,Carlos Filipe Ximenes Belo•Ŕ_
The Nobel Peace Prize,Jos•Ŕ_ Ramos-Horta•Ŕ_
Chemistry,Jens C. Skou•Ŕ_
Chemistry,John E. Walker•Ŕ_
Chemistry,Paul D. Boyer•Ŕ_
Economic Sciences,Myron S. Scholes•Ŕ_
Economic Sciences,Robert C. Merton•Ŕ_
Literature,Dario Fo•Ŕ_
Physics,Claude Cohen-Tannoudji•Ŕ_
Physics,Steven Chu•Ŕ_
Physics,William D. Phillips•Ŕ_
Medicine,Stanley B. Prusiner•Ŕ_
The Nobel Peace Prize,International Campaign to Ban Landmines (ICBL)•Ŕ_
The Nobel Peace Prize,Jody Williams•Ŕ_
Chemistry,John A. Pople•Ŕ_
Chemistry,Walter Kohn•Ŕ_
Economic Sciences,Amartya Sen•Ŕ_
Literature,Jos•Ŕ_ Saramago•Ŕ_
Physics,Daniel C. Tsui•Ŕ_
Physics,Horst L. St•Ŕ_rmer•Ŕ_
Physics,Robert B. Laughlin•Ŕ_
Medicine,Ferid Murad•Ŕ_
Medicine,Louis J. Ignarro•Ŕ_
Medicine,Robert F. Furchgott•Ŕ_
The Nobel Peace Prize,David Trimble•Ŕ_
The Nobel Peace Prize,John Hume•Ŕ_
Chemistry,Ahmed H. Zewail•Ŕ_
Economic Sciences,Robert A. Mundell•Ŕ_
Literature,G•Ŕ_nter Grass•Ŕ_
Physics,Gerardus 't Hooft•Ŕ_
Physics,Martinus J.G. Veltman•Ŕ_
Medicine,G•Ŕ_nter Blobel•Ŕ_
The Nobel Peace Prize,M•Ŕ_decins Sans Fronti•Ŕ_res•Ŕ_
Chemistry,Alan G. MacDiarmid•Ŕ_
Chemistry,Alan J. Heeger•Ŕ_
Chemistry,Hideki Shirakawa•Ŕ_
Economic Sciences,Daniel L. McFadden•Ŕ_
Economic Sciences,James J. Heckman•Ŕ_
Literature,Gao Xingjian•Ŕ_
Physics,Herbert Kroemer•Ŕ_
Physics,Jack S. Kilby•Ŕ_
Physics,Zhores I. Alferov•Ŕ_
Medicine,Arvid Carlsson•Ŕ_
Medicine,Eric R. Kandel•Ŕ_
Medicine,Paul Greengard•Ŕ_
The Nobel Peace Prize,Kim Dae-jung•Ŕ_
Chemistry,K. Barry Sharpless•Ŕ_
Chemistry,Ryoji Noyori•Ŕ_
Chemistry,William S. Knowles•Ŕ_
Economic Sciences,A. Michael Spence•Ŕ_
Economic Sciences,George A. Akerlof•Ŕ_
Economic Sciences,Joseph E. Stiglitz•Ŕ_
Literature,Sir Vidiadhar Surajprasad Naipaul•Ŕ_
Physics,Carl E. Wieman•Ŕ_
Physics,Eric A. Cornell•Ŕ_
Physics,Wolfgang Ketterle•Ŕ_
Medicine,Leland H. Hartwell•Ŕ_
Medicine,Sir Paul M. Nurse•Ŕ_
Medicine,Tim Hunt•Ŕ_
The Nobel Peace Prize,Kofi Annan•Ŕ_
The Nobel Peace Prize,United Nations (U.N.)•Ŕ_
Chemistry,John B. Fenn•Ŕ_
Chemistry,Koichi Tanaka•Ŕ_
Chemistry,Kurt W•Ŕ_thrich•Ŕ_
Economic Sciences,Daniel Kahneman•Ŕ_
Economic Sciences,Vernon L. Smith•Ŕ_
Literature,Imre Kert•Ŕ_sz•Ŕ_
Physics,Masatoshi Koshiba•Ŕ_
Physics,Raymond Davis Jr.•Ŕ_
Physics,Riccardo Giacconi•Ŕ_
Medicine,H. Robert Horvitz•Ŕ_
Medicine,John E. Sulston•Ŕ_
Medicine,Sydney Brenner•Ŕ_
The Nobel Peace Prize,Jimmy Carter•Ŕ_
Chemistry,Peter Agre•Ŕ_
Chemistry,Roderick MacKinnon•Ŕ_
Economic Sciences,Clive W.J. Granger•Ŕ_
Economic Sciences,Robert F. Engle III•Ŕ_
Literature,John M. Coetzee•Ŕ_
Physics,Alexei A. Abrikosov•Ŕ_
Physics,Anthony J. Leggett•Ŕ_
Physics,Vitaly L. Ginzburg•Ŕ_
Medicine,Paul C. Lauterbur•Ŕ_
Medicine,Sir Peter Mansfield•Ŕ_
The Nobel Peace Prize,Shirin Ebadi•Ŕ_
Chemistry,Aaron Ciechanover•Ŕ_
Chemistry,Avram Hershko•Ŕ_
Chemistry,Irwin Rose•Ŕ_
Economic Sciences,Edward C. Prescott•Ŕ_
Economic Sciences,Finn E. Kydland•Ŕ_
Literature,Elfriede Jelinek•Ŕ_
Physics,David J. Gross•Ŕ_
Physics,Frank Wilczek•Ŕ_
Physics,H. David Politzer•Ŕ_
Medicine,Linda B. Buck•Ŕ_
Medicine,Richard Axel•Ŕ_
The Nobel Peace Prize,Wangari Muta Maathai•Ŕ_
Chemistry,Richard R. Schrock•Ŕ_
Chemistry,Robert H. Grubbs•Ŕ_
Chemistry,Yves Chauvin•Ŕ_
Economic Sciences,Robert J. Aumann•Ŕ_
Economic Sciences,Thomas C. Schelling•Ŕ_
Literature,Harold Pinter•Ŕ_
Physics,John L. Hall•Ŕ_
Physics,Roy J. Glauber•Ŕ_
Physics,Theodor W. H•Ŕ_nsch•Ŕ_
Medicine,Barry J. Marshall•Ŕ_
Medicine,J. Robin Warren•Ŕ_
The Nobel Peace Prize,International Atomic Energy Agency (IAEA)•Ŕ_
The Nobel Peace Prize,Mohamed ElBaradei•Ŕ_
Chemistry,Roger D. Kornberg•Ŕ_
Economic Sciences,Edmund S. Phelps•Ŕ_
Literature,Orhan Pamuk•Ŕ_
Physics,George F. Smoot•Ŕ_
Physics,John C. Mather•Ŕ_
Medicine,Andrew Z. Fire•Ŕ_
Medicine,Craig C. Mello•Ŕ_
The Nobel Peace Prize,Grameen Bank•Ŕ_
The Nobel Peace Prize,Muhammad Yunus•Ŕ_
Chemistry,Gerhard Ertl•Ŕ_
Economic Sciences,Eric S. Maskin•Ŕ_
Economic Sciences,Leonid Hurwicz•Ŕ_
Economic Sciences,Roger B. Myerson•Ŕ_
Literature,Doris Lessing•Ŕ_
Physics,Albert Fert•Ŕ_
Physics,Peter Gr•Ŕ_nberg•Ŕ_
Medicine,Mario R. Capecchi•Ŕ_
Medicine,Oliver Smithies•Ŕ_
Medicine,Sir Martin J. Evans•Ŕ_
The Nobel Peace Prize,Albert Arnold (Al) Gore Jr.•Ŕ_
The Nobel Peace Prize,Intergovernmental Panel on Climate Change (IPCC)•Ŕ_
Chemistry,Martin Chalfie•Ŕ_
Chemistry,Osamu Shimomura•Ŕ_
Chemistry,Roger Y. Tsien•Ŕ_
Economic Sciences,Paul Krugman•Ŕ_
Literature,Jean-Marie Gustave Le Cl•Ŕ_zio•Ŕ_
Physics,Makoto Kobayashi•Ŕ_
Physics,Toshihide Maskawa•Ŕ_
Physics,Yoichiro Nambu•Ŕ_
Medicine,Fran•Ŕ_oise Barr•Ŕ_-Sinoussi•Ŕ_
Medicine,Harald zur Hausen•Ŕ_
Medicine,Luc Montagnier•Ŕ_
The Nobel Peace Prize,Martti Ahtisaari•Ŕ_
Chemistry,Ada E. Yonath•Ŕ_
Chemistry,Thomas A. Steitz•Ŕ_
Chemistry,Venkatraman Ramakrishnan•Ŕ_
Economic Sciences,Elinor Ostrom•Ŕ_
Economic Sciences,Oliver E. Williamson•Ŕ_
Literature,Herta M•Ŕ_ller•Ŕ_
Physics,Charles Kuen Kao•Ŕ_
Physics,George E. Smith•Ŕ_
Physics,Willard S. Boyle•Ŕ_
Medicine,Carol W. Greider•Ŕ_
Medicine,Elizabeth H. Blackburn•Ŕ_
Medicine,Jack W. Szostak•Ŕ_
The Nobel Peace Prize,Barack H. Obama•Ŕ_
Chemistry,Akira Suzuki•Ŕ_
Chemistry,Ei-ichi Negishi•Ŕ_
Chemistry,Richard F. Heck•Ŕ_
Economic Sciences,Christopher A. Pissarides•Ŕ_
Economic Sciences,Dale T. Mortensen•Ŕ_
Economic Sciences,Peter A. Diamond•Ŕ_
Literature,Mario Vargas Llosa•Ŕ_
Physics,Andre Geim•Ŕ_
Physics,Konstantin Novoselov•Ŕ_
Medicine,Robert G. Edwards•Ŕ_
The Nobel Peace Prize,Liu Xiaobo•Ŕ_
Chemistry,Dan Shechtman•Ŕ_
Economic Sciences,Christopher A. Sims•Ŕ_
Economic Sciences,Thomas J. Sargent•Ŕ_
Literature,Tomas Transtr•Ŕ_mer•Ŕ_
Physics,Adam G. Riess•Ŕ_
Physics,Brian P. Schmidt•Ŕ_
Physics,Saul Perlmutter•Ŕ_
Medicine,Bruce A. Beutler•Ŕ_
Medicine,Jules A. Hoffmann•Ŕ_
Medicine,Ralph M. Steinman•Ŕ_
The Nobel Peace Prize,Ellen Johnson Sirleaf•Ŕ_
The Nobel Peace Prize,Leymah Gbowee•Ŕ_
The Nobel Peace Prize,Tawakkol Karman•Ŕ_
Chemistry,Brian K. Kobilka•Ŕ_
Chemistry,Robert J. Lefkowitz•Ŕ_
Economic Sciences,Alvin E. Roth•Ŕ_
Economic Sciences,Lloyd S. Shapley•Ŕ_
Literature,Mo Yan•Ŕ_
Physics,David J. Wineland•Ŕ_
Physics,Serge Haroche•Ŕ_
Medicine,Shinya Yamanaka•Ŕ_
Medicine,Sir John B. Gurdon•Ŕ_
The Nobel Peace Prize,European Union (EU)•Ŕ_
Chemistry,Arieh Warshel•Ŕ_
Chemistry,Martin Karplus•Ŕ_
Chemistry,Michael Levitt•Ŕ_
Economic Sciences,Eugene F. Fama•Ŕ_
Economic Sciences,Lars Peter Hansen•Ŕ_
Economic Sciences,Robert J. Shiller•Ŕ_
Literature,Alice Munro•Ŕ_
Physics,Fran•Ŕ_ois Englert•Ŕ_
Physics,Peter W. Higgs•Ŕ_
Medicine,James E. Rothman•Ŕ_
Medicine,Randy W. Schekman•Ŕ_
Medicine,Thomas C. S•Ŕ_dhof•Ŕ_
The Nobel Peace Prize,Organisation for the Prohibition of Chemical Weapons (OPCW)•Ŕ_
Chemistry,Eric Betzig•Ŕ_
Chemistry,Stefan W. Hell•Ŕ_
Chemistry,William E. Moerner•Ŕ_
Economic Sciences,Jean Tirole•Ŕ_
Literature,Patrick Modiano•Ŕ_
Physics,Hiroshi Amano•Ŕ_
Physics,Isamu Akasaki•Ŕ_
Physics,Shuji Nakamura•Ŕ_
Medicine,Edvard I. Moser•Ŕ_
Medicine,John O'Keefe•Ŕ_
Medicine,May-Britt Moser•Ŕ_
The Nobel Peace Prize,Kailash Satyarthi•Ŕ_
The Nobel Peace Prize,Malala Yousafzai•Ŕ_
Chemistry,Aziz Sancar•Ŕ_
Chemistry,Paul Modrich•Ŕ_
Chemistry,Tomas Lindahl•Ŕ_
Economic Sciences,The 2015 Prize in Economic Sciences has not been awarded yet. It will be announced on Monday 12 October 1:00 p.m. CET at the earliest.
Literature,Svetlana Alexievich•Ŕ_
Physics,Arthur B. McDonald•Ŕ_
Physics,Takaaki Kajita•Ŕ_
Medicine,Satoshi _mura•Ŕ_
Medicine,William C. Campbell•Ŕ_
Medicine,Youyou Tu•Ŕ_
The Nobel Peace Prize,National Dialogue Quartet•Ŕ_
