source-Year,target-Laureate
1995,Eric F. WieschausÊ
1995,Joseph RotblatÊ
1995,Pugwash Conferences on Science and World AffairsÊ
1996,Richard E. SmalleyÊ
1996,Robert F. Curl Jr.Ê
1996,Sir Harold W. KrotoÊ
1996,James A. MirrleesÊ
1996,William VickreyÊ
1996,Wislawa SzymborskaÊ
1996,David M. LeeÊ
1996,Douglas D. OsheroffÊ
1996,Robert C. RichardsonÊ
1996,Peter C. DohertyÊ
1996,Rolf M. ZinkernagelÊ
1996,Carlos Filipe Ximenes BeloÊ
1996,Jos Ramos-HortaÊ
1997,Jens C. SkouÊ
1997,John E. WalkerÊ
1997,Paul D. BoyerÊ
1997,Myron S. ScholesÊ
1997,Robert C. MertonÊ
1997,Dario FoÊ
1997,Claude Cohen-TannoudjiÊ
1997,Steven ChuÊ
1997,William D. PhillipsÊ
1997,Stanley B. PrusinerÊ
1997,International Campaign to Ban Landmines (ICBL)Ê
1997,Jody WilliamsÊ
1998,John A. PopleÊ
1998,Walter KohnÊ
1998,Amartya SenÊ
1998,Jos SaramagoÊ
1998,Daniel C. TsuiÊ
1998,Horst L. StrmerÊ
1998,Robert B. LaughlinÊ
1998,Ferid MuradÊ
1998,Louis J. IgnarroÊ
1998,Robert F. FurchgottÊ
1998,David TrimbleÊ
1998,John HumeÊ
1999,Ahmed H. ZewailÊ
1999,Robert A. MundellÊ
1999,Gnter GrassÊ
1999,Gerardus 't HooftÊ
1999,Martinus J.G. VeltmanÊ
1999,Gnter BlobelÊ
1999,Mdecins Sans FrontiresÊ
2000,Alan G. MacDiarmidÊ
2000,Alan J. HeegerÊ
2000,Hideki ShirakawaÊ
2000,Daniel L. McFaddenÊ
2000,James J. HeckmanÊ
2000,Gao XingjianÊ
2000,Herbert KroemerÊ
2000,Jack S. KilbyÊ
2000,Zhores I. AlferovÊ
2000,Arvid CarlssonÊ
2000,Eric R. KandelÊ
2000,Paul GreengardÊ
2000,Kim Dae-jungÊ
2001,K. Barry SharplessÊ
2001,Ryoji NoyoriÊ
2001,William S. KnowlesÊ
2001,A. Michael SpenceÊ
2001,George A. AkerlofÊ
2001,Joseph E. StiglitzÊ
2001,Sir Vidiadhar Surajprasad NaipaulÊ
2001,Carl E. WiemanÊ
2001,Eric A. CornellÊ
2001,Wolfgang KetterleÊ
2001,Leland H. HartwellÊ
2001,Sir Paul M. NurseÊ
2001,Tim HuntÊ
2001,Kofi AnnanÊ
2001,United Nations (U.N.)Ê
2002,John B. FennÊ
2002,Koichi TanakaÊ
2002,Kurt WthrichÊ
2002,Daniel KahnemanÊ
2002,Vernon L. SmithÊ
2002,Imre KertszÊ
2002,Masatoshi KoshibaÊ
2002,Raymond Davis Jr.Ê
2002,Riccardo GiacconiÊ
2002,H. Robert HorvitzÊ
2002,John E. SulstonÊ
2002,Sydney BrennerÊ
2002,Jimmy CarterÊ
2003,Peter AgreÊ
2003,Roderick MacKinnonÊ
2003,Clive W.J. GrangerÊ
2003,Robert F. Engle IIIÊ
2003,John M. CoetzeeÊ
2003,Alexei A. AbrikosovÊ
2003,Anthony J. LeggettÊ
2003,Vitaly L. GinzburgÊ
2003,Paul C. LauterburÊ
2003,Sir Peter MansfieldÊ
2003,Shirin EbadiÊ
2004,Aaron CiechanoverÊ
2004,Avram HershkoÊ
2004,Irwin RoseÊ
2004,Edward C. PrescottÊ
2004,Finn E. KydlandÊ
2004,Elfriede JelinekÊ
2004,David J. GrossÊ
2004,Frank WilczekÊ
2004,H. David PolitzerÊ
2004,Linda B. BuckÊ
2004,Richard AxelÊ
2004,Wangari Muta MaathaiÊ
2005,Richard R. SchrockÊ
2005,Robert H. GrubbsÊ
2005,Yves ChauvinÊ
2005,Robert J. AumannÊ
2005,Thomas C. SchellingÊ
2005,Harold PinterÊ
2005,John L. HallÊ
2005,Roy J. GlauberÊ
2005,Theodor W. HnschÊ
2005,Barry J. MarshallÊ
2005,J. Robin WarrenÊ
2005,International Atomic Energy Agency (IAEA)Ê
2005,Mohamed ElBaradeiÊ
2006,Roger D. KornbergÊ
2006,Edmund S. PhelpsÊ
2006,Orhan PamukÊ
2006,George F. SmootÊ
2006,John C. MatherÊ
2006,Andrew Z. FireÊ
2006,Craig C. MelloÊ
2006,Grameen BankÊ
2006,Muhammad YunusÊ
2007,Gerhard ErtlÊ
2007,Eric S. MaskinÊ
2007,Leonid HurwiczÊ
2007,Roger B. MyersonÊ
2007,Doris LessingÊ
2007,Albert FertÊ
2007,Peter GrnbergÊ
2007,Mario R. CapecchiÊ
2007,Oliver SmithiesÊ
2007,Sir Martin J. EvansÊ
2007,Albert Arnold (Al) Gore Jr.Ê
2007,Intergovernmental Panel on Climate Change (IPCC)Ê
2008,Martin ChalfieÊ
2008,Osamu ShimomuraÊ
2008,Roger Y. TsienÊ
2008,Paul KrugmanÊ
2008,Jean-Marie Gustave Le ClzioÊ
2008,Makoto KobayashiÊ
2008,Toshihide MaskawaÊ
2008,Yoichiro NambuÊ
2008,Franoise Barr-SinoussiÊ
2008,Harald zur HausenÊ
2008,Luc MontagnierÊ
2008,Martti AhtisaariÊ
2009,Ada E. YonathÊ
2009,Thomas A. SteitzÊ
2009,Venkatraman RamakrishnanÊ
2009,Elinor OstromÊ
2009,Oliver E. WilliamsonÊ
2009,Herta MllerÊ
2009,Charles Kuen KaoÊ
2009,George E. SmithÊ
2009,Willard S. BoyleÊ
2009,Carol W. GreiderÊ
2009,Elizabeth H. BlackburnÊ
2009,Jack W. SzostakÊ
2009,Barack H. ObamaÊ
2010,Akira SuzukiÊ
2010,Ei-ichi NegishiÊ
2010,Richard F. HeckÊ
2010,Christopher A. PissaridesÊ
2010,Dale T. MortensenÊ
2010,Peter A. DiamondÊ
2010,Mario Vargas LlosaÊ
2010,Andre GeimÊ
2010,Konstantin NovoselovÊ
2010,Robert G. EdwardsÊ
2010,Liu XiaoboÊ
2011,Dan ShechtmanÊ
2011,Christopher A. SimsÊ
2011,Thomas J. SargentÊ
2011,Tomas TranstrmerÊ
2011,Adam G. RiessÊ
2011,Brian P. SchmidtÊ
2011,Saul PerlmutterÊ
2011,Bruce A. BeutlerÊ
2011,Jules A. HoffmannÊ
2011,Ralph M. SteinmanÊ
2011,Ellen Johnson SirleafÊ
2011,Leymah GboweeÊ
2011,Tawakkol KarmanÊ
2012,Brian K. KobilkaÊ
2012,Robert J. LefkowitzÊ
2012,Alvin E. RothÊ
2012,Lloyd S. ShapleyÊ
2012,Mo YanÊ
2012,David J. WinelandÊ
2012,Serge HarocheÊ
2012,Shinya YamanakaÊ
2012,Sir John B. GurdonÊ
2012,European Union (EU)Ê
2013,Arieh WarshelÊ
2013,Martin KarplusÊ
2013,Michael LevittÊ
2013,Eugene F. FamaÊ
2013,Lars Peter HansenÊ
2013,Robert J. ShillerÊ
2013,Alice MunroÊ
2013,Franois EnglertÊ
2013,Peter W. HiggsÊ
2013,James E. RothmanÊ
2013,Randy W. SchekmanÊ
2013,Thomas C. SdhofÊ
2013,Organisation for the Prohibition of Chemical Weapons (OPCW)Ê
2014,Eric BetzigÊ
2014,Stefan W. HellÊ
2014,William E. MoernerÊ
2014,Jean TiroleÊ
2014,Patrick ModianoÊ
2014,Hiroshi AmanoÊ
2014,Isamu AkasakiÊ
2014,Shuji NakamuraÊ
2014,Edvard I. MoserÊ
2014,John O'KeefeÊ
2014,May-Britt MoserÊ
2014,Kailash SatyarthiÊ
2014,Malala YousafzaiÊ
2015,Aziz SancarÊ
2015,Paul ModrichÊ
2015,Tomas LindahlÊ
2015,The 2015 Prize in Economic Sciences has not been awarded yet. It will be announced on Monday 12 October 1:00 p.m. CET at the earliest.
2015,Svetlana AlexievichÊ
2015,Arthur B. McDonaldÊ
2015,Takaaki KajitaÊ
2015,Satoshi _muraÊ
2015,William C. CampbellÊ
2015,Youyou TuÊ
2015,National Dialogue QuartetÊ
